winner_name,wins,aces,double_faults,service_points,1st_serves_made,1st_serve_points_won,2nd_serve_points_won,service_games_won,break_points_saved,break_points_faced,height
Chris Rodesch,1,,,,,,,,,,
Christian Harrison,1,7.0,3.0,103.0,70.0,50.0,20.0,18.0,0.0,2.0,178.0
Christopher Eubanks,24,14.458333333333334,3.0833333333333335,92.79166666666667,65.29166666666667,51.583333333333336,14.541666666666666,15.375,3.4583333333333335,4.625,201.0
Christopher Oconnell,22,8.363636363636363,2.0454545454545454,84.63636363636364,53.18181818181818,39.95454545454545,16.863636363636363,13.272727272727273,3.909090909090909,5.590909090909091,183.0
Christopher Rungkat,1,,,,,,,,,,170.0
Chun Hsin Tseng,3,1.6666666666666667,2.3333333333333335,53.666666666666664,31.333333333333332,22.0,12.666666666666666,9.0,2.0,3.6666666666666665,175.0
Coleman Wong,2,2.0,2.0,68.0,38.0,24.0,18.0,10.0,6.0,8.0,
Colin Sinclair,1,,,,,,,,,,
Conner Huertas Del Pino,1,,,,,,,,,,
Constant Lestienne,12,5.333333333333333,3.6666666666666665,84.08333333333333,53.25,40.0,14.416666666666666,12.583333333333334,4.083333333333333,6.166666666666667,180.0
Corentin Moutet,20,3.35,3.1,92.95,61.6,42.95,16.6,14.25,4.4,6.6,178.0
Cristian Garin,35,4.0,3.3823529411764706,91.05882352941177,56.05882352941177,39.970588235294116,18.676470588235293,13.852941176470589,4.5588235294117645,7.0,185.0
Dalibor Svrcina,1,0.0,4.0,69.0,48.0,37.0,12.0,13.0,4.0,5.0,
Damir Dzumhur,5,2.0,1.75,73.5,51.0,33.25,12.0,11.25,2.75,5.0,172.0
Daniel Altmaier,17,6.882352941176471,2.5294117647058822,86.52941176470588,57.35294117647059,41.705882352941174,15.235294117647058,12.882352941176471,4.411764705882353,6.117647058823529,191.0
Daniel Cukierman,1,,,,,,,,,,
Daniel Elahi Galan,22,6.05,1.45,87.85,54.4,38.7,17.6,13.8,3.8,6.2,191.0
Daniel Evans,46,4.704545454545454,2.1136363636363638,67.22727272727273,41.86363636363637,31.863636363636363,14.886363636363637,11.431818181818182,2.909090909090909,4.204545454545454,175.0
Daniil Medvedev,101,7.84,3.76,72.91,47.29,36.77,13.29,11.73,3.19,4.4,198.0
Darian King,4,,,,,,,,,,188.0
David Goffin,36,5.151515151515151,3.242424242424242,82.06060606060606,47.18181818181818,35.15151515151515,19.393939393939394,13.090909090909092,4.03030303030303,6.0606060606060606,180.0
Denis Istomin,1,7.0,3.0,55.0,40.0,34.0,9.0,9.0,1.0,1.0,188.0
Denis Kudla,10,4.555555555555555,2.0,86.11111111111111,53.55555555555556,38.111111111111114,17.11111111111111,14.11111111111111,4.333333333333333,7.222222222222222,180.0
Denis Shapovalov,47,9.41304347826087,5.956521739130435,86.67391304347827,52.82608695652174,41.80434782608695,18.32608695652174,14.304347826086957,3.4565217391304346,5.0,185.0
Dennis Novak,2,13.0,4.0,117.0,78.0,60.0,23.0,20.0,3.0,6.0,183.0
Diego Fernandez Flores,1,1.0,1.0,61.0,38.0,32.0,14.0,11.0,2.0,4.0,
Diego Schwartzman,40,1.475,3.375,87.175,58.625,38.5,14.825,13.125,5.375,8.4,170.0
Dimitar Kuzmanov,4,1.6666666666666667,1.0,48.333333333333336,31.666666666666668,23.333333333333332,12.0,8.0,1.6666666666666667,1.6666666666666667,183.0
Dino Prizmic,2,1.0,2.0,48.0,27.0,22.0,13.5,8.5,1.0,1.0,
Dominic Stricker,12,11.833333333333334,3.3333333333333335,102.91666666666667,59.666666666666664,46.833333333333336,24.083333333333332,16.5,3.8333333333333335,5.833333333333333,180.0
Dominic Thiem,32,4.84375,2.5,73.90625,46.3125,33.84375,15.40625,11.8125,2.875,4.65625,185.0
Dominik Koepfer,10,5.8,3.4,79.8,50.8,37.0,17.0,12.9,5.5,7.8,180.0
Dusan Lajovic,30,3.5172413793103448,1.3103448275862069,79.89655172413794,54.793103448275865,39.44827586206897,12.206896551724139,12.206896551724139,4.310344827586207,6.379310344827586,180.0
Edan Leshem,1,1.0,0.0,51.0,33.0,30.0,9.0,9.0,3.0,3.0,183.0
Edas Butvilas,1,,,,,,,,,,
Eero Vasa,1,,,,,,,,,,
Egor Gerasimov,4,5.25,2.25,75.5,50.0,37.75,12.75,12.5,3.75,5.5,196.0
Elias Ymer,15,5.833333333333333,3.0833333333333335,73.91666666666667,44.666666666666664,34.416666666666664,16.166666666666668,11.583333333333334,4.0,5.333333333333333,183.0
Elmer Moller,1,,,,,,,,,,
Emil Ruusuvuori,58,5.148148148148148,2.5185185185185186,73.83333333333333,48.333333333333336,35.75925925925926,14.11111111111111,11.685185185185185,3.425925925925926,4.925925925925926,188.0
Emilio Gomez,6,4.75,3.0,87.75,55.5,42.0,14.5,14.0,5.0,8.25,185.0
Emilio Nava,2,10.5,7.5,119.0,72.5,53.5,28.0,18.0,6.0,8.5,183.0
Enzo Couacaud,1,4.0,1.0,80.0,47.0,37.0,18.0,14.0,2.0,4.0,183.0
Ergi Kirkin,1,,,,,,,,,,180.0
Ernests Gulbis,1,,,,,,,,,,190.0
Ethan Quinn,1,5.0,1.0,47.0,30.0,25.0,9.0,8.0,3.0,3.0,
Fabian Marozsan,5,4.6,1.2,92.4,60.0,43.0,19.0,14.6,3.2,5.0,191.0
Fabio Fognini,25,4.08,3.72,86.32,51.92,36.32,18.24,12.76,5.16,7.48,178.0
Facundo Bagnis,9,5.444444444444445,1.6666666666666667,64.77777777777777,42.666666666666664,31.11111111111111,13.222222222222221,10.555555555555555,3.6666666666666665,5.0,183.0
Facundo Diaz Acosta,2,2.5,3.0,79.0,49.5,35.0,15.5,13.0,3.0,5.5,183.0
Federico Coria,22,3.9545454545454546,2.090909090909091,72.68181818181819,49.95454545454545,35.0,12.454545454545455,11.772727272727273,4.2272727272727275,6.409090909090909,180.0
